,asset_id,interval,timestamp,open,high,low,close,volume
199,AMZN,D,2020-02-05,2070.59,2070.59,2032.28,2039.62,172529
200,AMZN,D,2020-02-06,2041.89,2056.3,2025.0,2050.67,178301
201,AMZN,D,2020-02-07,2039.1,2098.45,2039.1,2079.21,245185
202,AMZN,D,2020-02-10,2085.0,2135.27,2085.0,2134.05,180088
203,AMZN,D,2020-02-11,2151.75,2185.8,2136.0,2151.73,214355
204,AMZN,D,2020-02-12,2167.9,2180.0,2156.35,2161.89,94709
205,AMZN,D,2020-02-13,2143.61,2170.13,2143.61,2150.13,96432
206,AMZN,D,2020-02-14,2155.8,2157.66,2126.21,2135.08,122979
207,AMZN,D,2020-02-18,2126.05,2165.5,2125.39,2154.23,96083
208,AMZN,D,2020-02-19,2166.51,2185.0,2161.78,2170.99,95835
209,AMZN,D,2020-02-20,2173.5,2176.0,2128.53,2153.56,129826
210,AMZN,D,2020-02-21,2138.63,2144.16,2088.26,2095.76,191533
211,AMZN,D,2020-02-24,2004.99,2039.1,1988.13,2009.17,160252
212,AMZN,D,2020-02-25,2026.42,2033.86,1959.71,1971.63,197622
213,AMZN,D,2020-02-26,1970.44,2013.87,1961.25,1980.71,165676
214,AMZN,D,2020-02-27,1934.9,1974.0,1884.39,1884.64,260372
215,AMZN,D,2020-02-28,1814.63,1885.0,1812.0,1884.12,244822
216,AMZN,D,2020-03-02,1909.01,1953.92,1870.0,1953.92,204268
217,AMZN,D,2020-03-03,1975.37,1996.0,1889.0,1906.19,234261
218,AMZN,D,2020-03-04,1948.0,1977.46,1923.0,1973.71,193973
219,AMZN,D,2020-03-05,1933.42,1959.82,1910.01,1925.83,222040
220,AMZN,D,2020-03-06,1876.355,1909.73,1869.51,1899.33,202637
221,AMZN,D,2020-03-09,1774.99,1862.63,1762.0,1800.0,277166
222,AMZN,D,2020-03-10,1870.88,1892.03,1818.5,1892.03,277366
223,AMZN,D,2020-03-11,1856.0,1870.4,1801.73,1820.2,189549
224,AMZN,D,2020-03-12,1709.97,1764.46,1675.0,1675.69,377197
225,AMZN,D,2020-03-13,1754.99,1786.31,1681.92,1783.01,285106
226,AMZN,D,2020-03-16,1635.0,1759.0,1627.15,1688.29,269007
227,AMZN,D,2020-03-17,1774.49,1857.0,1690.0,1811.15,296350
228,AMZN,D,2020-03-18,1749.99,1840.4,1745.0,1832.4,291951
229,AMZN,D,2020-03-19,1857.1,1945.0,1833.45,1877.85,355203
230,AMZN,D,2020-03-20,1926.51,1955.37,1821.42,1843.37,250886
231,AMZN,D,2020-03-23,1830.0,1919.13,1815.02,1902.54,250479
232,AMZN,D,2020-03-24,1947.96,1953.9,1901.69,1940.0,274594
233,AMZN,D,2020-03-25,1921.54,1949.62,1886.01,1887.69,228185
234,AMZN,D,2020-03-26,1899.02,1955.41,1889.99,1955.41,249687
235,AMZN,D,2020-03-27,1929.01,1937.07,1900.01,1900.19,181932
236,AMZN,D,2020-03-30,1921.48,1972.98,1912.99,1962.52,214926
237,AMZN,D,2020-03-31,1963.8,1992.79,1944.38,1947.34,162887
238,AMZN,D,2020-04-01,1932.72,1943.22,1894.0,1908.98,176553
239,AMZN,D,2020-04-02,1901.56,1927.38,1890.11,1918.65,185000
240,AMZN,D,2020-04-03,1911.22,1925.88,1889.37,1905.73,175483
241,AMZN,D,2020-04-06,1940.06,1997.72,1930.67,1994.41,258760
242,AMZN,D,2020-04-07,2017.18,2035.495,1998.74,2011.6,215367
243,AMZN,D,2020-04-08,2021.37,2044.0,2011.59,2044.0,192393
244,AMZN,D,2020-04-09,2045.63,2053.0,2017.99,2043.97,207343
245,AMZN,D,2020-04-13,2039.0,2179.73,2038.56,2168.01,178022
246,AMZN,D,2020-04-14,2201.67,2291.98,2188.05,2282.5,275992
247,AMZN,D,2020-04-15,2255.77,2333.17,2246.01,2306.92,222645
248,AMZN,D,2020-04-16,2343.04,2458.58,2335.24,2408.19,338649
249,AMZN,D,2020-04-17,2372.26,2399.41,2317.16,2376.82,204372
250,AMZN,D,2020-04-21,2389.68,2392.35,2280.02,2333.03,156667
251,AMZN,D,2020-04-22,2372.39,2393.49,2351.19,2361.46,93738
252,AMZN,D,2020-04-23,2397.175,2424.11,2383.61,2399.44,156277
253,AMZN,D,2020-04-24,2419.05,2419.05,2382.335,2410.6,116950
254,AMZN,D,2020-04-27,2444.06,2444.105,2364.45,2376.0,133789
255,AMZN,D,2020-04-28,2366.39,2372.93,2306.69,2313.28,142842
256,AMZN,D,2020-04-29,2329.21,2391.55,2310.0,2370.0,118527
257,AMZN,D,2020-04-30,2426.26,2471.5,2400.2,2471.5,174872
258,AMZN,D,2020-05-01,2331.44,2360.0,2260.0,2287.0,317894
259,AMZN,D,2020-05-04,2257.26,2326.98,2256.76,2314.0,132634
260,AMZN,D,2020-05-05,2340.01,2351.0,2308.93,2319.11,101942
261,AMZN,D,2020-05-06,2328.72,2356.95,2321.87,2350.02,95431
262,AMZN,D,2020-05-07,2372.81,2375.55,2344.63,2367.4,98459
263,AMZN,D,2020-05-08,2371.57,2386.79,2357.77,2379.47,93788
264,AMZN,D,2020-05-11,2375.99,2419.48,2372.55,2406.55,85365
265,AMZN,D,2020-05-12,2412.55,2418.63,2355.61,2355.61,107874
266,AMZN,D,2020-05-13,2368.5,2407.33,2338.02,2368.64,163852
267,AMZN,D,2020-05-14,2362.19,2390.26,2354.5,2389.01,164602
268,AMZN,D,2020-05-15,2368.52,2410.82,2357.36,2410.82,163003
269,AMZN,D,2020-05-18,2402.46,2432.35,2384.01,2426.82,144426
270,AMZN,D,2020-05-19,2429.83,2484.48,2428.97,2448.74,142793
271,AMZN,D,2020-05-20,2475.2,2500.01,2468.15,2497.82,137952
272,AMZN,D,2020-05-21,2500.12,2525.45,2442.85,2448.28,206280
273,AMZN,D,2020-05-22,2455.92,2468.4,2430.92,2435.85,109860
